Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Vattenkrasse	100	3,0	108	26	2,9	1,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,3	0,3	233	0	0,00	1,00	1,00	2 800	0,09	0,12	43	0,7	0,2	0,13	0,00	30	60	0,20	330	120	21	41	0,5	0,20	0,0	1,2	91,0	8	
Vattenmelon	100	0,6	143	34	0,6	7,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,3	2,4	2,4	19	0	0,00	0,10	0,10	230	0,08	0,02	10	0,3	0,2	0,14	0,00	2	9	0,20	116	8	11	2	0,0	0,10	0,0	0,3	91,0	48	
Vaxbönor	100	2,7	136	33	1,8	4,7	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,4	0,4	5	0	0,00	0,45	0,45	55	0,08	0,13	21	0,9	0,6	0,10	0,00	36	38	1,10	210	45	25	6	0,5	0,20	0,0	0,7	90,0	6	
Vaxbönor frysta	100	2,7	121	29	1,8	3,8	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,4	0,4	5	0	0,00	0,30	0,30	60	0,08	0,09	12	0,8	0,5	0,08	0,00	36	32	0,80	180	36	22	1	0,5	0,30	0,0	0,5	91,1	0	
Vaxbönor konserv u lag	100	2,7	99	24	1,4	2,5	0,0	0,3	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,9	0,4	0,4	5	0	0,00	0,20	0,20	60	0,03	0,05	5	0,5	0,3	0,04	0,00	14	25	1,50	95	45	14	236	0,5	0,30	0,0	0,9	92,2	0	
Vegebitar, grytbitar av veteprotein	100	0,0	973	232	27,4	9,9	0,0	9,1	1,4	2,2	5,2	0,2	0,0	0,0	0,7	0,3	0,0	0,0	2,1	5,0	0,2	0,0	0,0	0,0	0,0	0,5	1,2	0,1	0	0	0,00	3,86	3,86	2	0,86	0,19	0	6,1	1,6	0,12	0,00	20	101	8,00	147	28	15	772	11,6	1,13	0,0	2,6	50,9	0	
Vegetarisk färs, sojaprotein, fryst	100	7,4	705	168	17,7	5,5	0,0	6,8	0,7	1,4	3,3	0,0	0,0	0,0	0,4	0,2	0,0	0,0	1,4	3,3	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0	0	0,00	3,18	3,18	0	0,51	0,27	0	4,7	1,8	0,35	0,00	138	291	3,56	244	103	125	271	6,6	1,94	0,0	2,9	59,7	0	
Vegetarisk gryta	100	2,4	216	52	1,2	5,6	0,0	2,2	0,8	0,8	0,4	0,0	0,0	0,0	0,6	0,1	0,0	0,0	0,8	0,4	0,1	0,0	0,0	0,0	0,0	3,2	1,0	1,0	127	19	0,24	1,26	1,26	1 146	0,04	0,04	22	1,0	0,8	0,11	0,00	29	36	0,57	271	33	15	279	0,5	0,35	0,0	1,4	87,2	10	
Vetebröd osötat	100	2,8	1 198	286	7,6	44,6	0,0	7,8	4,0	2,5	0,9	0,3	0,2	0,5	2,0	0,7	0,1	0,2	1,8	0,7	0,1	0,0	0,0	0,0	0,0	0,0	1,9	0,0	57	57	0,46	1,10	1,10	0	0,20	0,16	0	3,7	2,4	0,20	0,20	36	114	0,80	192	62	20	178	1,0	0,60	20,0	1,0	36,2	0	
Vetediet berik	100	9,5	1 623	388	19,0	53,5	0,0	8,5	1,0	2,2	4,8	0,0	0,0	0,0	0,9	0,2	0,0	0,0	2,2	4,7	0,1	0,0	0,0	0,0	0,0	0,1	3,5	0,2	400	400	1,00	4,50	4,50	0	0,60	0,75	28	6,9	3,7	0,70	1,80	180	350	7,00	380	400	100	28	3,0	2,30	0,0	1,5	8,0	0	
Vetegroddar	100	14,0	1 461	349	27,5	31,4	0,0	9,4	1,6	1,4	5,7	0,0	0,0	0,0	1,6	0,1	0,0	0,0	1,3	5,1	0,6	0,0	0,0	0,0	0,0	1,2	15,2	15,2	5	0	0,00	11,00	11,00	62	1,72	1,00	0	8,4	3,8	1,82	0,00	330	1 000	8,00	1 060	41	290	2	3,0	17,80	0,0	4,4	13,3	0	
Vetegroddsolja	100	0,0	3 700	884	0,0	0,0	0,0	100,0	16,6	19,3	59,7	0,0	0,0	0,0	15,1	1,3	0,2	0,0	18,0	54,2	5,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	149,00	149,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	0	0,0	3,80	0,0	0,0	0,0	0	
Vetekli	100	30,5	1 228	294	16,6	30,4	0,0	5,0	0,8	0,8	2,6	0,0	0,0	0,0	0,8	0,1	0,0	0,0	0,8	2,4	0,2	0,0	0,0	0,0	0,0	0,7	2,4	2,4	1	0	0,00	1,60	1,60	6	0,66	0,32	0	25,8	23,0	1,35	0,00	260	1 100	11,00	1 340	76	480	3	2,0	7,30	0,0	5,5	12,0	0	
Vetekross veteflingor ångprep	100	11,3	1 375	329	10,2	61,0	0,0	2,0	0,2	0,3	0,9	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,3	0,8	0,1	0,0	0,0	0,0	0,0	0,0	0,5	0,5	0	0	0,00	1,40	1,40	0	0,40	0,12	0	5,7	4,0	0,20	0,00	40	360	5,00	380	35	110	3	3,4	2,80	0,0	1,5	14,0	0	
Vetemjöl bagerivetemjöl berik	100	3,1	1 451	347	10,4	70,5	0,0	1,4	0,2	0,1	0,6	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,6	0,0	0,0	0,0	0,0	0,0	0,1	1,3	0,2	2	0	0,00	0,46	0,46	16	0,62	0,15	0	6,3	4,6	0,68	0,08	22	115	0,74	155	18	23	1	6,1	0,73	0,0	0,5	14,1	0	
Vetemjöl bagerivetemjöl oberik	100	3,1	1 457	348	10,6	70,2	0,0	1,6	0,2	0,1	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,6	0,0	0,0	0,0	0,0	0,0	0,1	1,4	0,2	1	0	0,00	0,49	0,49	11	0,20	0,03	0	3,0	1,2	0,13	0,00	24	125	1,08	149	18	27	1	3,4	0,82	0,0	0,5	14,0	0	
Vetemjöl berik	100	2,6	1 494	357	10,2	73,1	0,0	1,6	0,2	0,1	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,7	0,0	0,0	0,0	0,0	0,0	0,1	1,4	0,2	0	0	0,00	0,41	0,41	2	0,47	0,12	1	5,6	4,0	0,33	0,08	23	117	1,19	124	18	25	1	2,5	0,80	0,0	0,5	12,1	0	
Vetemjöl oberik	100	3,6	1 473	352	8,5	72,4	0,0	1,9	0,3	0,2	0,8	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,8	0,1	0,0	0,0	0,0	0,0	0,1	1,5	0,3	1	0	0,00	0,40	0,40	8	0,18	0,03	2	2,3	0,9	0,11	0,00	23	111	0,70	166	21	21	1	10,1	0,56	0,0	0,5	13,2	0	
Vetemjölsvälling	100	0,1	353	84	3,7	7,9	0,0	4,2	2,1	1,4	0,4	0,3	0,1	0,3	0,9	0,4	0,0	0,0	1,3	0,3	0,1	0,0	0,0	0,0	0,0	0,0	6,0	1,0	27	25	0,02	0,36	0,36	14	0,05	0,13	0	1,0	0,2	0,04	0,39	4	96	0,08	168	119	13	245	1,9	0,47	10,4	1,3	82,8	0	
Veteskorpor	100	4,2	1 753	419	10,3	70,7	0,0	9,2	1,3	5,6	1,8	0,0	0,0	0,0	0,6	0,5	0,1	0,0	5,4	1,6	0,3	0,0	0,0	0,0	0,0	7,2	2,7	0,1	29	28	0,21	1,79	1,79	5	0,18	0,17	0	5,4	3,7	0,30	0,18	48	118	1,33	204	27	29	284	4,5	0,98	2,0	1,2	4,3	0	
Veteskorpor osötade	100	3,0	1 991	476	9,9	66,2	0,0	18,2	6,7	7,5	2,9	0,4	0,8	0,7	2,8	1,9	0,1	0,3	6,8	2,4	0,5	0,0	0,0	0,0	0,0	0,3	2,8	0,1	187	186	1,46	1,94	1,94	6	0,35	0,25	0	5,4	3,8	0,35	0,20	15	228	1,00	222	148	26	350	1,0	1,10	15,0	1,6	1,1	0	
Whisky 40 vol. %	100	0,0	928	222	0,0	0,0	32,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	0	0,0	0,00	0,0	0,0	68,0	0	
Vichyvatten	100	0,0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	4	1	110	0,0	0,00	0,0	0,3	99,7	0	
Wienerbröd	100	2,5	2 141	512	7,1	40,4	0,0	35,5	13,3	16,2	4,0	0,2	0,5	0,5	9,5	2,3	0,2	0,3	15,6	3,4	0,6	0,0	0,0	0,0	0,0	8,5	3,3	3,3	257	255	1,50	2,50	2,50	18	0,17	0,17	0	3,2	2,0	0,17	0,20	8	97	0,80	121	33	16	290	1,0	0,80	39,0	1,1	13,4	0	
Wienerbröd fyllt m vaniljkräm sylt florsocker	100	2,2	1 908	456	6,4	45,4	0,0	27,3	12,3	10,7	3,1	0,1	0,5	0,5	9,4	1,6	0,1	0,1	10,4	2,5	0,6	0,0	0,0	0,0	0,0	3,8	9,5	7,6	250	241	0,09	4,65	4,65	111	0,06	0,18	0	2,0	1,0	0,06	0,12	39	85	0,78	130	37	16	284	4,5	0,67	31,8	1,1	17,7	0	
Wienerkorv 15% fett	100	0,0	822	196	10,0	5,7	0,0	15,0	6,4	6,7	1,1	0,0	0,0	0,3	3,5	2,3	0,0	0,5	6,0	0,9	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20	19	0,10	0,24	0,24	8	0,14	0,08	0	4,0	2,2	0,13	0,48	4	83	1,10	119	10	12	800	2,0	1,82	65,0	2,3	67,0	0	
Wienerkorv 23% fett	100	0,0	1 084	259	9,8	3,9	0,0	23,0	8,4	11,1	2,3	0,0	0,0	0,4	5,2	2,7	0,1	0,9	9,9	1,8	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	11	10	0,20	0,30	0,30	8	0,15	0,09	0	4,1	2,3	0,15	1,10	4	83	1,10	119	10	12	780	2,0	1,80	65,0	2,3	61,0	0	
Wienerkorv kokt	100	0,0	1 141	273	10,3	4,1	0,0	24,2	8,9	11,7	2,5	0,0	0,0	0,4	5,5	2,8	0,1	0,9	10,4	1,9	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	11	11	0,21	0,32	0,32	8	0,11	0,08	0	4,3	2,4	0,13	0,93	3	87	1,16	125	11	13	821	2,1	1,89	68,4	2,4	58,9	0	
Wienerkorv stekt	100	0,0	1 141	273	10,3	4,1	0,0	24,2	8,9	11,7	2,5	0,0	0,0	0,4	5,5	2,8	0,1	0,9	10,4	1,9	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,0	11	11	0,21	0,32	0,32	8	0,11	0,08	0	4,3	2,4	0,13	0,93	3	87	1,16	125	11	13	821	2,1	1,89	68,4	2,4	58,9	0	
Wienerschnitzel m griskött	100	0,5	806	193	17,2	8,3	0,0	9,8	2,4	4,8	2,1	0,0	0,0	0,2	1,4	0,6	0,0	0,2	4,1	1,2	0,4	0,0	0,1	0,0	0,2	0,3	0,5	0,4	28	28	0,53	1,58	1,58	7	0,46	0,23	2	8,8	5,6	0,36	1,55	9	167	1,49	320	27	27	726	12,6	1,94	78,9	3,0	60,9	8	
Vignabönor svartögda bönor torkade	100	9,4	1 407	336	23,0	52,1	0,0	1,5	0,4	0,1	0,6	0,0	0,0	0,0	0,4	0,1	0,0	0,0	0,1	0,4	0,3	0,0	0,0	0,0	0,0	1,6	3,0	3,0	2	0	0,00	0,30	0,30	18	1,05	0,21	0	6,0	2,2	0,56	0,00	633	425	5,80	1 020	74	230	35	2,0	2,00	0,0	3,5	10,5	0	
Vignabönor svartögda bönor torkade kokta u salt	100	4,7	290	69	5,1	9,1	0,0	0,3	0,1	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,8	1,4	1,4	1	0	0,00	0,20	0,20	6	0,16	0,04	2	1,3	0,4	0,05	0,00	208	95	1,30	230	17	50	8	0,5	0,80	0,0	0,8	80,0	0	
Vildris kokt	100	1,8	427	102	4,0	19,5	0,0	0,3	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,05	0,09	0	2,0	1,3	0,14	0,00	26	82	0,60	101	3	32	3	0,8	1,34	0,0	0,4	73,9	0	
Vildris okokt	100	6,2	1 508	360	14,7	68,7	0,0	1,1	0,2	0,2	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,2	0,4	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,12	0,26	0	9,2	6,7	0,39	0,00	95	433	1,96	427	21	177	7	2,8	5,96	0,0	1,5	7,8	0	
Vinbladsdolma m ris konserv	100	2,5	677	162	2,5	11,5	0,0	11,3	1,7	2,7	6,1	0,0	0,0	0,0	1,2	0,4	0,0	0,0	2,6	5,4	0,7	0,0	0,0	0,0	0,0	1,9	0,1	0,1	47	0	0,00	2,18	2,18	557	0,00	0,05	0	0,8	0,4	0,08	0,00	15	28	1,01	65	43	8	586	1,0	0,40	0,0	1,7	70,5	0	
Vindruvor	100	1,6	314	75	0,7	15,7	0,0	0,6	0,2	0,0	0,2	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	14,7	0,4	0,3	3	0	0,00	0,40	0,40	33	0,09	0,06	11	0,4	0,3	0,11	0,00	4	13	0,30	185	11	9	2	0,4	0,10	0,0	0,4	81,0	4	
Vinglögg 10 vol. %	100	0,0	521	125	0,0	17,0	8,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,4	16,6	16,6	0	0	0,00	0,00	0,00	0	0,00	0,02	0	0,1	0,1	0,02	0,00	0	15	1,10	110	7	12	3	0,0	0,10	0,0	0,3	74,7	0	
Vinäger ättiksyra 7 %	100	0,0	126	30	0,4	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,6	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	32	0,50	89	15	22	20	0,0	0,10	0,0	0,0	92,6	0	
Vispgrädde 40% fett	100	0,0	1 567	375	2,1	3,0	0,0	40,0	26,2	9,3	0,6	4,1	1,3	4,1	11,6	4,6	0,1	0,4	8,6	0,6	0,3	0,0	0,0	0,0	0,0	0,0	3,0	0,0	349	334	0,28	0,93	0,93	184	0,03	0,09	0	0,5	0,0	0,03	0,26	3	56	0,07	100	72	8	25	1,4	0,31	112,6	0,5	54,4	0	
Vit choklad	100	0,0	2 447	585	6,0	52,4	0,0	39,3	24,1	11,8	1,5	0,6	0,3	0,8	9,9	11,7	0,4	0,2	11,5	1,3	0,1	0,0	0,0	0,0	0,0	0,0	51,8	41,9	76	73	0,33	0,67	0,67	31	0,03	0,42	0	1,3	0,3	0,11	0,53	11	179	0,19	311	203	21	79	2,4	0,74	26,1	1,5	0,8	0	
Vit gratängsås	100	0,2	534	128	5,6	8,9	0,0	7,8	2,5	3,5	1,4	0,3	0,1	0,3	1,2	0,5	0,0	0,1	3,4	0,9	0,4	0,0	0,0	0,0	0,0	0,0	4,5	0,0	47	46	0,18	1,23	1,23	17	0,07	0,18	0	1,8	0,6	0,07	0,50	10	121	0,39	171	112	16	617	4,5	0,52	56,8	2,4	75,3	1	
Vit stuvning 	100	0,1	435	104	3,7	7,6	0,0	6,5	3,0	2,5	0,9	0,2	0,2	0,2	1,9	0,3	0,0	0,0	2,4	0,7	0,3	0,0	0,0	0,0	0,0	0,0	4,6	0,0	75	74	0,99	0,75	0,75	7	0,05	0,13	0	1,1	0,2	0,04	0,36	4	92	0,09	159	111	13	435	1,8	0,45	5,6	1,7	80,3	0	
Vit sås béchamelsås på lättmjölk	100	0,1	379	91	4,2	8,9	0,0	4,2	0,8	2,3	1,1	0,1	0,0	0,1	0,3	0,2	0,0	0,0	2,3	0,8	0,3	0,0	0,0	0,0	0,0	0,0	5,4	0,0	48	27	0,41	0,93	0,93	2	0,06	0,15	0	1,2	0,3	0,05	0,42	5	106	0,11	183	129	14	367	2,0	0,52	3,2	1,7	80,9	0	
Vit sås béchamelsås standardmjölk	100	0,1	466	111	4,1	8,5	0,0	6,8	2,5	2,9	1,1	0,3	0,1	0,3	1,1	0,5	0,0	0,0	2,8	0,8	0,3	0,0	0,0	0,0	0,0	0,0	5,2	0,0	28	26	0,02	0,98	0,98	15	0,06	0,14	0	1,2	0,3	0,05	0,40	5	102	0,11	177	125	14	653	2,0	0,50	10,7	2,3	78,2	0	
Vit sås med grädde	100	0,1	667	159	3,9	7,8	0,0	12,7	6,7	4,0	1,0	1,0	0,3	1,0	3,0	1,2	0,0	0,1	3,8	0,7	0,3	0,0	0,0	0,0	0,0	0,0	5,0	0,0	96	92	0,39	0,96	0,95	45	0,06	0,14	0	1,1	0,2	0,05	0,39	5	98	0,10	170	119	13	297	2,0	0,49	29,0	1,4	74,2	0	
Vita bönor i tomatsås	100	5,0	379	90	6,0	12,8	0,0	0,5	0,1	0,0	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	1,6	0,8	0,8	11	0	0,00	0,55	0,55	132	0,10	0,04	4	2,0	1,0	0,08	0,00	69	118	1,69	514	53	53	208	0,9	0,87	0,0	1,8	73,9	0	
Vita bönor i tomatsås konserv	100	5,0	407	97	5,1	13,9	0,0	1,2	0,2	0,1	0,6	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,3	0,4	0,0	0,0	0,0	0,0	1,8	3,4	3,4	5	0	0,00	0,60	0,60	60	0,14	0,07	3	1,3	0,4	0,12	0,00	65	191	1,30	265	32	31	455	0,5	0,30	0,0	1,8	73,0	0	
Vita bönor torkade	100	15,8	1 337	319	22,0	45,7	0,0	1,6	0,2	0,1	1,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,3	0,6	0,0	0,0	0,0	0,0	1,6	3,0	3,0	1	0	0,00	0,34	0,34	12	0,65	0,22	0	6,1	2,4	0,56	0,00	488	425	5,50	1 530	144	184	6	2,0	2,80	0,0	3,9	11,0	0	
Vita bönor torkade kokta	100	6,3	533	127	8,8	18,2	0,0	0,6	0,1	0,0	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,6	1,2	1,2	0	0	0,00	0,14	0,14	5	0,18	0,06	0	2,4	1,0	0,13	0,00	136	170	2,20	611	58	73	101	0,8	1,12	0,0	1,8	64,2	0	
Vita bönor torkade kokta u salt	100	7,0	452	108	7,8	14,2	0,0	0,6	0,1	0,0	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,5	1,0	1,0	0	0	0,00	0,07	0,07	4	0,14	0,07	0	2,0	0,7	0,13	0,00	81	148	2,70	415	50	49	7	1,0	1,00	0,0	1,4	69,0	0	
Vitkål	100	2,0	108	26	1,4	3,8	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,3	0,1	0,1	6	0	0,00	0,02	0,02	66	0,05	0,04	36	0,6	0,4	0,10	0,00	57	30	0,40	270	45	13	14	2,9	0,20	0,0	0,7	92,0	20	
Vitkål kokt	100	2,5	133	32	1,7	4,7	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,1	0,1	0,1	7	0	0,00	0,02	0,02	81	0,04	0,03	20	0,8	0,5	0,07	0,00	49	37	0,50	334	57	16	262	3,6	0,25	0,0	1,5	89,5	25	
Vitkålssallad m lingonsylt	100	1,7	288	69	1,0	14,8	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9,6	4,1	4,1	4	0	0,00	0,27	0,27	49	0,04	0,03	19	0,5	0,3	0,07	0,00	39	24	0,37	198	35	10	16	2,1	0,17	0,0	0,5	81,8	14	
Vitkålssallad pizzasallad	100	1,4	585	140	1,0	5,2	0,0	12,6	1,6	3,3	7,2	0,0	0,0	0,0	1,3	0,2	0,0	0,0	3,2	7,0	0,2	0,0	0,0	0,0	0,0	2,7	1,5	1,5	10	0	0,00	2,14	2,14	123	0,04	0,04	34	0,5	0,3	0,13	0,00	40	27	0,52	194	30	11	340	1,3	0,18	0,0	1,3	78,4	12	
Vitkålssoppa m fläskkorv hemlagad	100	0,7	196	47	2,2	1,6	0,0	3,4	1,6	1,4	0,4	0,0	0,0	0,1	0,9	0,5	0,0	0,1	1,3	0,3	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	3	1	0,04	0,06	0,06	26	0,01	0,03	7	1,1	0,7	0,05	0,20	21	29	0,30	94	15	6	250	0,5	0,20	11,0	1,1	91,0	0	
Vitkålssoppa m frikadeller	100	1,2	131	31	2,5	2,6	0,0	1,0	0,4	0,4	0,1	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,4	0,0	0,0	0,0	0,0	0,0	0,0	1,9	0,2	0,1	7	3	0,03	0,05	0,05	40	0,02	0,03	10	1,2	0,8	0,05	0,04	25	34	0,86	188	32	10	158	2,2	0,43	6,7	0,9	91,8	13	
Vitkålssoppa vegetarisk	100	0,8	59	14	0,9	1,8	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,4	0,0	0,0	6	0	0,00	0,07	0,07	66	0,05	0,04	13	0,8	0,6	0,03	0,00	19	15	0,24	118	21	7	179	1,2	0,08	0,0	1,0	95,3	8	
Vitkålsstuvning hemlagad	100	1,3	287	69	2,3	6,8	0,0	3,3	1,2	1,1	0,4	0,2	0,1	0,2	0,6	0,0	0,0	0,1	1,1	0,3	0,1	0,0	0,0	0,0	0,0	2,0	2,1	0,1	41	34	0,21	0,28	0,28	84	0,04	0,08	19	0,8	0,4	0,08	0,20	38	52	0,40	137	59	9	270	0,8	0,20	6,0	1,3	85,0	0	
Vitling	100	0,0	333	80	18,3	0,0	0,0	0,6	0,1	0,2	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	3	3	0,70	0,23	0,23	0	0,05	0,05	0	5,4	2,0	0,18	0,80	12	183	0,30	370	50	24	50	25,0	0,50	50,0	1,2	79,9	52	
Vitling kokt	100	0,0	410	98	22,5	0,0	0,0	0,7	0,1	0,2	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	4	4	0,86	0,28	0,28	0	0,06	0,06	0	6,6	2,5	0,21	0,89	10	225	0,37	455	62	30	232	30,7	0,62	61,5	1,9	74,9	64	
Vitlingfilé panerad stekt	100	0,3	606	145	17,5	4,4	0,0	6,1	0,9	3,3	1,6	0,0	0,0	0,0	0,5	0,2	0,0	0,1	3,2	1,0	0,4	0,0	0,0	0,0	0,1	0,1	0,1	0,0	19	19	0,72	1,52	1,52	3	0,06	0,07	0	5,1	1,8	0,14	0,69	13	188	0,53	348	52	26	549	23,7	0,55	76,8	2,4	69,1	46	
Vitlök	100	1,5	668	160	6,4	31,1	0,0	0,5	0,1	0,0	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	3,0	0,9	0,9	0	0	0,00	0,01	0,01	0	0,20	0,11	31	1,8	0,7	0,13	0,00	3	153	1,70	400	181	25	17	20,0	1,00	0,0	1,5	59,0	13	
Vitt bröd glutenfritt ca 3% fibrer	100	2,8	1 250	299	2,7	55,6	0,0	6,4	1,0	1,4	3,7	0,0	0,0	0,0	0,7	0,3	0,0	0,0	1,4	3,2	0,5	0,0	0,0	0,0	0,0	1,4	2,0	0,0	0	0	0,00	0,63	0,63	0	0,03	0,09	0	0,9	0,5	0,06	0,14	26	107	0,50	142	68	8	236	0,4	0,28	0,0	1,1	31,4	0	
Vitt bröd grov baguette surdeg bakad i butik 4,4% fibrer	100	4,4	1 089	260	7,6	51,7	0,0	1,2	0,2	0,1	0,5	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,0	0,2	5,2	0,1	4	4	0,00	0,09	0,09	2	0,17	0,05	1	2,7	1,4	0,13	0,00	32	94	0,97	157	20	25	536	2,6	0,74	2,0	1,8	33,3	0	
Vitt bröd mjölk typ fibrerfranska ca 4% fibrer 	100	4,0	1 124	269	8,6	50,4	0,0	2,4	0,4	0,6	0,4	0,0	0,0	0,0	0,3	0,1	0,0	0,0	0,5	0,4	0,0	0,0	0,0	0,0	0,0	0,3	4,1	0,1	30	30	0,28	0,15	0,15	0	0,30	0,10	0	4,2	2,8	0,14	0,20	36	241	1,00	268	49	93	485	1,4	2,00	0,8	1,5	33,1	0	
